x,t,u
0.099754,0.072665,0.775323
0.105196,0.223684,0.475665
0.056054,0.377075,0.244222
0.09893,0.474328,0.284122
0.058236,0.554046,0.210493
0.073837,0.731212,0.279038
0.091391,0.838731,0.17768
0.078505,0.887269,0.195324
0.149938,0.027658,0.907299
0.167491,0.2158,0.687318
0.16302,0.302543,0.500334
0.176688,0.487175,0.337876
0.164325,0.523357,0.322549
0.144289,0.625256,0.284277
0.124204,0.821966,0.292779
0.162163,0.976101,0.124071
0.199517,0.064455,1.093914
0.208757,0.162737,0.827676
0.186924,0.317085,0.573209
0.193158,0.460378,0.560759
0.206674,0.599921,0.456606
0.223588,0.657484,0.513169
0.232074,0.836572,0.332059
0.203481,0.894599,0.240729
0.286732,0.03677,1.165973
0.255708,0.140883,0.978799
0.293445,0.339782,0.723957
0.288189,0.473687,0.500444
0.272359,0.568249,0.514805
0.251844,0.633744,0.467927
0.285826,0.796532,0.609856
0.279194,0.9518,0.499149
0.347946,0.08643,0.911245
0.343092,0.176474,0.869819
0.309124,0.312406,0.630433
0.320938,0.429023,0.5998
0.362004,0.528073,0.620777
0.310891,0.653766,0.588653
0.326017,0.81943,0.370302
0.342952,0.954068,0.337831
0.414134,0.068766,0.65962
0.423758,0.160037,0.809097
0.372889,0.270806,0.710572
0.417866,0.435425,0.626152
0.381796,0.560125,0.512301
0.38122,0.703558,0.498442
0.40011,0.785723,0.335714
0.390811,0.935634,0.30009
0.458974,0.030518,0.84065
0.4433,0.255428,0.67008
0.494123,0.343965,0.61336
0.452806,0.496301,0.773443
0.485777,0.586027,0.802934
0.464602,0.652669,0.447738
0.441911,0.848312,0.430835
0.465014,0.884284,0.476176
0.519669,0.089506,0.796288
0.511364,0.242794,0.648878
0.548762,0.346336,0.646462
0.527777,0.455277,0.68546
0.537549,0.577982,0.590293
0.505429,0.669897,0.496164
0.502675,0.799279,0.465255
0.521205,0.877343,0.335364
0.570933,0.090517,0.606501
0.575252,0.251014,0.65843
0.60164,0.301624,0.66387
0.602273,0.382736,0.564169
0.625907,0.557876,0.542222
0.614604,0.629928,0.565626
0.595571,0.798885,0.453009
0.624575,0.928607,0.415751
0.65901,0.052037,0.628172
0.649887,0.202481,0.640351
0.656787,0.262593,0.559026
0.68169,0.487539,0.506777
0.637587,0.566484,0.482832
0.635551,0.700669,0.61099
0.646651,0.819131,0.527045
0.675307,0.952238,0.379061
0.699783,0.129921,0.579299
0.707657,0.14449,0.543622
0.728526,0.304511,0.622206
0.746201,0.47699,0.431008
0.713245,0.614348,0.434605
0.711559,0.681807,0.238434
0.709312,0.852325,0.415482
0.703439,0.865389,0.380276
0.785113,0.139085,0.498736
0.814465,0.229833,0.431191
0.814408,0.367214,0.393754
0.790498,0.417911,0.383385
0.806772,0.579399,0.265335
0.781164,0.631336,0.30054
0.805151,0.771495,0.23144
0.817367,0.888916,0.235502
0.82932,0.119734,0.667436
0.831283,0.161512,0.297134
0.85996,0.364947,0.281467
0.834057,0.417239,0.328019
